Datotid,"Varenummer",Varenavn,"Volum",Pris,"Literpris",Varetype,"Produktutvalg",Butikkategori,"Fylde",Friskhet,"Garvestoffer",Bitterhet,"Sodme",Farge,"Lukt",Smak,"Passertil01",Passertil02,"Passertil03",Land,"Distrikt",Underdistrikt,"Argang",Rastoff,"Metode",Alkohol,"Sukker",Syre,"Lagringsgrad",Produsent,"Grossist",Distributor,"Emballasjetype",Korktype,"Vareurl"
,"7102",De Luze V.S.,"0.35",199.90,"571.20",Druebrennevin,"Bestillingsutvalget",Uavhengig sortiment,"0",0,"0",0,"0",,"",,"",,"",Frankrike,"Cognac Tradisjonell",�vrige,"",90% Ugni Blanc - Folle Blanche - Colombard.  10% JuranconBlanc-Semillon-Sauvignon-Blanc Rame.,"Pot still destillasjon.Min. 30 mnd. lagring p� eikefat.",40.00,"12.60",Ukjent,"",De Luze,"Engelstad Spirits AS",Cuveco AS,"Engangsflasker av glass",,"http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-7102"
,"7103",De Luze V.S.,"0.05",49.90,"998.00",Druebrennevin,"Bestillingsutvalget",Uavhengig sortiment,"0",0,"0",0,"0",,"",,"",,"",Frankrike,"Cognac Tradisjonell",�vrige,"",90% Ugni Blanc - Folle Blanche - Colombard.  10% JuranconBlanc-Semillon-Sauvignon-Blanc Rame.,"Pot still destillasjon.Min. 30 mnd. lagring p� eikefat.",40.00,"12.60",Ukjent,"",De Luze,"Engelstad Spirits AS",Cuveco AS,"Engangsflasker av glass",,"http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-7103"
,"7501",Martell V.S.,"0.70",399.90,"571.30",Druebrennevin,"Basisutvalget",Butikkategori 6,"0",0,"0",0,"0",,"",,"",,"",Frankrike,"Cognac Tradisjonell",�vrige,"",Ugni Blanc 100%,"Druene presses forsiktig uten at stener og skinn knuses.",40.00,"6.00",Ukjent,"",Martell,"Pernod Ricard Norway AS",SKANLOG VSD AS,"Engangsflasker av glass",,"http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-7501"
,"7502",Martell V.S.,"0.35",229.00,"654.30",Druebrennevin,"Bestillingsutvalget",Uavhengig sortiment,"0",0,"0",0,"0",,"",,"",,"",Frankrike,"Cognac Tradisjonell",�vrige,"",Ugni Blanc 100%,"Druene presses forsiktig uten at stener og skinn knuses. Mosten gj�res i 4-5 dager. Etter dette g�r vinen gjennom en malolaktisk gj�ring f�r den sendes til destilleriet. Metodene og apparatene som ben",40.00,"6.00",Ukjent,"",Martell,"Pernod Ricard Norway AS",SKANLOG VSD AS,"Engangsflasker av glass",,"http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-7502"
,"7701",R�my Martin V.S.O.P. Fine Champagne,"0.70",525.00,"750.00",Druebrennevin,"Basisutvalget",Butikkategori 6,"0",0,"0",0,"0",,"",,"",,"",Frankrike,"Cognac Tradisjonell",�vrige,"",Ugni Blanc, Folle Blanche og Colombard.,"",40.00,"10.00",Ukjent,"",R�my Martin,"Robert Prizelius AS",Vectura AS,"Engangsflasker av glass",,"http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-7701"
,"7901",Hennessy V.S.O.P.,"0.70",514.90,"735.60",Druebrennevin,"Bestillingsutvalget",Uavhengig sortiment,"0",0,"0",0,"0",,"",,"",,"",Frankrike,"Cognac Tradisjonell",�vrige,"",Ugni Blanc 100%,"Grunnvinen presses pneumatisk og klares f�r gj�ringsprosessen,",40.00,"4.90",Ukjent,"",Hennessy,"Mo�t Hennessy Norge AS",SKANLOG VSD AS,"Engangsflasker av glass",,"http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-7901"
,"8001",Martell Medaillon V.S.O.P.,"0.70",495.00,"707.10",Druebrennevin,"Bestillingsutvalget",Uavhengig sortiment,"0",0,"0",0,"0",,"",,"",,"",Frankrike,"Cognac Tradisjonell",�vrige,"",Ugni Blanc 100%,"Druene presses forsiktig uten at stener og stilker knuses. Mosten gj�res naturlig i fire-fem dager. Etter dette g�r vinen gjennom",40.00,"5.50",Ukjent,"",,"Pernod Ricard Norway AS",SKANLOG VSD AS,"Engangsflasker av glass",,"http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-8001"
,"8801",Martell Cordon Bleu,"0.70",924.00,"1320.00",Druebrennevin,"Bestillingsutvalget",Uavhengig sortiment,"0",0,"0",0,"0",,"",,"",,"",Frankrike,"Cognac Tradisjonell",�vrige,"",100% Ugni Blanc,"Tradisjonell dobbeltdestillasjon i alambic30-35 �rs lagring i fat (340 ltr) fra Troncais",40.00,"8.00",Ukjent,"",Martell,"Pernod Ricard Norway AS",SKANLOG VSD AS,"Engangsflasker av glass",,"http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-8801"
,"10701",Metaxa *****,"0.70",355.00,"507.10",Druebrennevin,"Bestillingsutvalget",Uavhengig sortiment,"0",0,"0",0,"0",,"",,"",,"",Hellas,"�vrige",�vrige,"",Druer.,"",38.00,"Ukjent",Ukjent,"",,"Robert Prizelius AS",Vectura AS,"Engangsflasker av glass",,"http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-10701"
,"12001",Bell's Original,"0.70",329.90,"471.30",Whisky,"Basisutvalget",Butikkategori 6,"0",0,"0",0,"0",,"",,"",,"",Skottland,"�vrige",�vrige,"",,"",40.00,"0.20",Ukjent,"",Bell's Dist.,"Diageo Norway AS",SKANLOG VSD AS,"Engangsflasker av glass",,"http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-12001"
,"12002",Bell's Original,"0.35",181.90,"519.70",Whisky,"Basisutvalget",Butikkategori 5,"0",0,"0",0,"0",,"",,"",,"",Skottland,"�vrige",�vrige,"",,"",40.00,"0.20",Ukjent,"",Bell's Dist.,"Diageo Norway AS",SKANLOG VSD AS,"Engangsflasker av glass",,"http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-12002"
,"12101",Peter Dawson Special,"0.70",299.90,"428.40",Whisky,"Basisutvalget",Butikkategori 3,"0",0,"0",0,"0",,"",,"",,"",Skottland,"�vrige",�vrige,"",,"",40.00,"0.10",Ukjent,"",,"Diageo Norway AS",SKANLOG VSD AS,"Engangsflasker av glass",,"http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-12101"
,"12102",Peter Dawson Special,"0.35",164.90,"471.20",Whisky,"Basisutvalget",Butikkategori 3,"0",0,"0",0,"0",,"",,"",,"",Skottland,"�vrige",�vrige,"",,"",40.00,"0.10",Ukjent,"",,"Diageo Norway AS",SKANLOG VSD AS,"Engangsflasker av glass",,"http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-12102"
,"12201",Inverness Cream,"0.70",299.90,"428.40",Whisky,"Basisutvalget",Butikkategori 4,"0",0,"0",0,"0",,"",,"",,"",Skottland,"�vrige",�vrige,"",Bygg, Mais, Vann, Gj�r.,"Lagret 3 �r p� eikefat.",40.00,"Ukjent",Ukjent,"",,"Interbrands Norway AS",Cuveco AS,"Engangsflasker av glass",,"http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-12201"
