"Datotid","Varenummer","Varenavn","Volum","Pris","Literpris","Varetype","Produktutvalg","Butikkategori","Fylde","Friskhet","Garvestoffer","Bitterhet","Sodme","Farge","Lukt","Smak","Passertil01","Passertil02","Passertil03","Land","Distrikt","Underdistrikt","Argang","Rastoff","Metode","Alkohol","Sukker","Syre","Lagringsgrad","Produsent","Grossist","Distributor","Emballasjetype","Korktype","Vareurl"
"","3501","Hammer","0.70","309.90","442.70","Vodka","Basisutvalget","Butikkategori 4","0","0","0","0","0","","","","","","","Norge","Øvrige","Øvrige","","Kornprit","Destillasjon. Ingen lagring.","42.70","Ukjent","Ukjent","","","Arcus AS","Vectura AS","Engangsflasker av glass","","http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-3501"
"","3502","Hammer","0.35","184.90","528.30","Vodka","Basisutvalget","Butikkategori 5","0","0","0","0","0","","","","","","","Norge","Øvrige","Øvrige","","Kornprit","Destillasjon. Ingen lagring.","42.70","Ukjent","Ukjent","","","Arcus AS","Vectura AS","Engangsflasker av glass","","http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-3502"
"","3801","Finlandia","0.70","304.90","435.60","Vodka","Bestillingsutvalget","Uavhengig sortiment","0","0","0","0","0","","","","","","","Finland","Øvrige","Øvrige","","Korn, Enzymer, Gjær, Vann.","Kornet renses, males, blandes med vann og kokes. Deretter tilsettes gjær for å initiere alkohol-gjæringen. Sukker omdannes til ethy","37.50","Ukjent","Ukjent","","Altia Corp.","Interbev AS","Trebuchet AS","Engangsflasker av glass","","http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-3801"
"","3803","Finlandia","0.05","59.00","1180.10","Vodka","Bestillingsutvalget","Uavhengig sortiment","0","0","0","0","0","","","","","","","Finland","Øvrige","Øvrige","","Korn, Enzymer, Gjær, Vann.","Kornet renses, males, blandes med vann og kokes. Deretter tilsettes gjær for å initiere alkohol-gjæringen. Sukker omdannes til ethy","40.00","Ukjent","Ukjent","","Altia Corp.","Interbev AS","Trebuchet AS","Engangsflasker av glass","","http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-3803"
"","3901","Absolut Vodka","0.70","304.90","435.60","Vodka","Basisutvalget","Butikkategori 4","0","0","0","0","0","","","","","","","Sverige","Øvrige","Øvrige","","100% Vinterhvete","Tradisjonell fermentering og destillasjon i kolonneapparat.","40.00","Ukjent","Ukjent","","The Absolut Company","Pernod Ricard Norway AS","SKANLOG VSD AS","Engangsflasker av glass","","http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-3901"
"","3902","Absolut Vodka","0.35","179.90","514.00","Vodka","Bestillingsutvalget","Uavhengig sortiment","0","0","0","0","0","","","","","","","Sverige","Øvrige","Øvrige","","100% Vinterhvete","Tradisjonell fermentering og destillasjon i kollonneapparat, hvoretter råspriten rektifiseres.Ingen fatlagring. Ingen flaskelagring.","40.00","Ukjent","Ukjent","","The Absolut Company","Pernod Ricard Norway AS","SKANLOG VSD AS","Engangsflasker av glass","","http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-3902"
"","4401","Hammer Lime","0.70","309.90","442.70","Vodka","Basisutvalget","Butikkategori 6","0","0","0","0","0","","","","","","","Norge","Øvrige","Øvrige","","Kornprit, limearoma","Destillasjon. Ingen lagring.","42.70","Ukjent","Ukjent","","","Arcus AS","Vectura AS","Engangsflasker av glass","","http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-4401"
"","4801","Absolut Citron","0.70","324.90","464.10","Vodka","Basisutvalget","Butikkategori 2","0","0","0","0","0","","","","","","","Sverige","Øvrige","Øvrige","","100% Vinterhvete","Tradisjonell fermentering og destillasjon, hvoretter råspriten rektifiseres. Finspriten smaksettes med naturlige aromaer fra forskellige sitrusfrukter. Ingen fatlagring. Ingen flaskelagring.","40.00","Ukjent","Ukjent","","The Absolut Company","Pernod Ricard Norway AS","SKANLOG VSD AS","Engangsflasker av glass","","http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-4801"
"","5201","Bonaparte V.S.O.P.","0.70","429.90","614.10","Druebrennevin","Bestillingsutvalget","Uavhengig sortiment","0","0","0","0","0","","","","","","","Frankrike","Cognac Tradisjonell","Øvrige","","Ugni Blanc 100%","Tradisjonell dobbeltdestillasjon. Lagret minst 4 år på eikefat.","40.00","Ukjent","Ukjent","","","Arcus AS","Vectura AS","Engangsflasker av glass","","http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-5201"
"","5401","Bache-Gabrielsen 3 kors","0.70","369.90","528.40","Druebrennevin","Bestillingsutvalget","Uavhengig sortiment","0","0","0","0","0","","","","","","","Frankrike","Cognac Tradisjonell","Øvrige","","Ugni Blanc","Tradisjonell dobbeldestillasjon. 3 - 5 års fatlagring.","40.00","Ukjent","Ukjent","","Bache-Gabrielsen","Vectura AS","Vectura AS","Engangsflasker av glass","","http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-5401"
"","5402","Bache-Gabrielsen 3 kors","0.35","209.90","599.70","Druebrennevin","Bestillingsutvalget","Uavhengig sortiment","0","0","0","0","0","","","","","","","Frankrike","Cognac Tradisjonell","Øvrige","","Ugni Blanc","Tradisjonell dobbeldestillasjon. 3 - 5 års fatlagring.","40.00","Ukjent","Ukjent","","Bache-Gabrielsen","Vectura AS","Vectura AS","Engangsflasker av glass","","http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-5402"
"","5404","Bache-Gabrielsen 3 kors","0.20","154.90","774.50","Druebrennevin","Bestillingsutvalget","Uavhengig sortiment","0","0","0","0","0","","","","","","","Frankrike","Cognac Tradisjonell","Øvrige","","Ugni Blanc","Tradisjonell dobbeldestillasjon. 3 - 5 års fatlagring.","40.00","Ukjent","Ukjent","","Bache-Gabrielsen","Vectura AS","Vectura AS","Engangsflasker av glass","","http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-5404"
"","5701","Renault Carte Noire Extra Old","0.70","549.90","785.60","Druebrennevin","Basisutvalget","Butikkategori 6","0","0","0","0","0","","","","","","","Frankrike","Cognac Tradisjonell","","","","Lagret 12 år på eikefat.","40.00","Ukjent","Ukjent","","Renault","Interbev AS","Trebuchet AS","Engangsflasker av glass","","http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-5701"
"","6201","Baron Otard V.S.O.P. Fine Champagne","0.70","514.90","735.60","Druebrennevin","Basisutvalget","Butikkategori 6","0","0","0","0","0","","","","","","","Frankrike","Cognac Tradisjonell","Øvrige","","Grande og Petit Champagne","Lagret opp til 8 år.","40.00","Ukjent","Ukjent","","Ch. de Cognac","Bacardi Norge AS","Vectura AS","Engangsflasker av glass","Skrukapsel","http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-6201"
"","6202","Baron Otard V.S.O.P. Fine Champagne","0.35","284.90","814.00","Druebrennevin","Bestillingsutvalget","Uavhengig sortiment","0","0","0","0","0","","","","","","","Frankrike","Cognac Tradisjonell","Øvrige","","Grande og Petit Champagne","Lagret opp til 8 år.","40.00","Ukjent","Ukjent","","Ch. de Cognac","Bacardi Norge AS","Vectura AS","Engangsflasker av glass","Annet","http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-6202"
"","6301","Hennessy Very Special","0.70","399.90","571.30","Druebrennevin","Basisutvalget","Butikkategori 4","0","0","0","0","0","","","","","","","Frankrike","Cognac Tradisjonell","Øvrige","","Ugni Blanc (fra Petite Champagne, Grande Champagne, Fins Bois og Borderies).","Dobbel destillering. Minimum 36 måneder fatlagring.","40.00","Ukjent","Ukjent","","","Moët Hennessy Norge AS","SKANLOG VSD AS","Engangsflasker av glass","","http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-6301"
"","6302","Hennessy Very Special","0.35","229.90","656.90","Druebrennevin","Basisutvalget","Butikkategori 6","0","0","0","0","0","","","","","","","Frankrike","Cognac Tradisjonell","Øvrige","","Ugni Blanc (fra Petite Champagne, Grande Champagne, Fins Bois og Borderies).","Dobbel destilleringMin. 36 md fatlagring","40.00","Ukjent","Ukjent","","","Moët Hennessy Norge AS","SKANLOG VSD AS","Engangsflasker av glass","","http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-6302"
"","6501","Larsen Very Special Vikings'","0.70","389.90","557.00","Druebrennevin","Basisutvalget","Butikkategori 3","0","0","0","0","0","","","","","","","Frankrike","Cognac Tradisjonell","Øvrige","","Ugni Blanc","Tradisjonell produksjon.","40.00","12.00","Ukjent","","Larsen","Interbev AS","Trebuchet AS","Engangsflasker av glass","","http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-6501"
"","6502","Larsen Very Special Vikings'","0.35","229.90","656.90","Druebrennevin","Bestillingsutvalget","Uavhengig sortiment","0","0","0","0","0","","","","","","","Frankrike","Cognac Tradisjonell","Øvrige","","Ugni Blanc","Tradisjonell produksjon.","40.00","12.00","Ukjent","","Larsen","Interbev AS","Trebuchet AS","Engangsflasker av glass","","http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-6502"
"","6601","Larsen Viking Ship Fine Champagne","0.70","1049.90","1499.90","Druebrennevin","Bestillingsutvalget","Uavhengig sortiment","0","0","0","0","0","","","","","","","Frankrike","Cognac Tradisjonell","Øvrige","","","Tradisjonell72 md fatlagring.","40.00","12.00","Ukjent","","Larsen","Interbev AS","Trebuchet AS","Engangsflasker av glass","","http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-6601"
"","6801","Ch. Fontpinot","0.70","799.00","1141.40","Druebrennevin","Bestillingsutvalget","Uavhengig sortiment","0","0","0","0","0","","","","","","","Frankrike","Cognac Brut","Grande Champagne","","Ugni Blanc 100%","","41.00","Ukjent","Ukjent","","Frapin","Nordic Cellars AS","SKANLOG VSD AS","Engangsflasker av glass","","http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-6801"
"","6901","Hennessy X.O.","0.70","1249.90","1785.60","Druebrennevin","Bestillingsutvalget","Uavhengig sortiment","0","0","0","0","0","","","","","","","Frankrike","Cognac Tradisjonell","Øvrige","","Ugni Blanc 100%","Tradisjonell dobbeltdestillasjon i alambicMin. 6 års fatlagring (enkelte elementer er fatlagret i opptil 100 år)","40.00","5.00","Ukjent","","Hennessy","Moët Hennessy Norge AS","SKANLOG VSD AS","Engangsflasker av glass","","http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-6901"
"","6902","Hennessy X.O.","0.35","669.90","1914.00","Druebrennevin","Bestillingsutvalget","Uavhengig sortiment","0","0","0","0","0","","","","","","","Frankrike","Cognac Tradisjonell","Øvrige","","Ugni Blanc 100%","Tradisjonell dobbeltdestillasjon i alambicMin. 6 års fatlagring (enkelte elementer er fatlagret i opptil 100 år)","40.00","5.00","Ukjent","","Hennessy","Moët Hennessy Norge AS","SKANLOG VSD AS","Engangsflasker av glass","","http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-6902"
"","7001","Courvoisier V.S.","0.70","379.90","542.70","Druebrennevin","Basisutvalget","Butikkategori 6","0","0","0","0","0","","","","","","","Frankrike","Cognac Tradisjonell","Øvrige","","99% Ugni Blanc.","5-8 år gammel, hovedsaklig fra fins bois samt noe petite champagne. Tradisjonell produksjon, destillert 2 ganger. Lagret på franske eikefat.","40.00","Ukjent","Ukjent","","Courvoisier","Edrington Norway AS","Vectura AS","Engangsflasker av glass","","http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-7001"
"","7101","De Luze V.S.","0.70","359.90","514.10","Druebrennevin","Basisutvalget","Butikkategori 1","0","0","0","0","0","","","","","","","Frankrike","Cognac Tradisjonell","Øvrige","","90% Ugni Blanc - Folle Blanche - Colombard.  10% JuranconBlanc-Semillon-Sauvignon-Blanc Rame.","Pot still destillasjon.","40.00","12.60","Ukjent","","De Luze","Engelstad Spirits AS","Cuveco AS","Engangsflasker av glass","","http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-7101"
"","7102","De Luze V.S.","0.35","199.90","571.20","Druebrennevin","Bestillingsutvalget","Uavhengig sortiment","0","0","0","0","0","","","","","","","Frankrike","Cognac Tradisjonell","Øvrige","","90% Ugni Blanc - Folle Blanche - Colombard.  10% JuranconBlanc-Semillon-Sauvignon-Blanc Rame.","Pot still destillasjon.Min. 30 mnd. lagring på eikefat.","40.00","12.60","Ukjent","","De Luze","Engelstad Spirits AS","Cuveco AS","Engangsflasker av glass","","http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-7102"
"","7103","De Luze V.S.","0.05","49.90","998.00","Druebrennevin","Bestillingsutvalget","Uavhengig sortiment","0","0","0","0","0","","","","","","","Frankrike","Cognac Tradisjonell","Øvrige","","90% Ugni Blanc - Folle Blanche - Colombard.  10% JuranconBlanc-Semillon-Sauvignon-Blanc Rame.","Pot still destillasjon.Min. 30 mnd. lagring på eikefat.","40.00","12.60","Ukjent","","De Luze","Engelstad Spirits AS","Cuveco AS","Engangsflasker av glass","","http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-7103"
"","7501","Martell V.S.","0.70","399.90","571.30","Druebrennevin","Basisutvalget","Butikkategori 6","0","0","0","0","0","","","","","","","Frankrike","Cognac Tradisjonell","Øvrige","","Ugni Blanc 100%","Druene presses forsiktig uten at stener og skinn knuses.","40.00","6.00","Ukjent","","Martell","Pernod Ricard Norway AS","SKANLOG VSD AS","Engangsflasker av glass","","http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-7501"
"","7502","Martell V.S.","0.35","229.00","654.30","Druebrennevin","Bestillingsutvalget","Uavhengig sortiment","0","0","0","0","0","","","","","","","Frankrike","Cognac Tradisjonell","Øvrige","","Ugni Blanc 100%","Druene presses forsiktig uten at stener og skinn knuses. Mosten gjæres i 4-5 dager. Etter dette går vinen gjennom en malolaktisk gjæring før den sendes til destilleriet. Metodene og apparatene som ben","40.00","6.00","Ukjent","","Martell","Pernod Ricard Norway AS","SKANLOG VSD AS","Engangsflasker av glass","","http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-7502"
"","7701","Rémy Martin V.S.O.P. Fine Champagne","0.70","525.00","750.00","Druebrennevin","Basisutvalget","Butikkategori 6","0","0","0","0","0","","","","","","","Frankrike","Cognac Tradisjonell","Øvrige","","Ugni Blanc, Folle Blanche og Colombard.","","40.00","10.00","Ukjent","","Rémy Martin","Robert Prizelius AS","Vectura AS","Engangsflasker av glass","","http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-7701"
"","7901","Hennessy V.S.O.P.","0.70","514.90","735.60","Druebrennevin","Bestillingsutvalget","Uavhengig sortiment","0","0","0","0","0","","","","","","","Frankrike","Cognac Tradisjonell","Øvrige","","Ugni Blanc 100%","Grunnvinen presses pneumatisk og klares før gjæringsprosessen,","40.00","4.90","Ukjent","","Hennessy","Moët Hennessy Norge AS","SKANLOG VSD AS","Engangsflasker av glass","","http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-7901"
"","8001","Martell Medaillon V.S.O.P.","0.70","495.00","707.10","Druebrennevin","Bestillingsutvalget","Uavhengig sortiment","0","0","0","0","0","","","","","","","Frankrike","Cognac Tradisjonell","Øvrige","","Ugni Blanc 100%","Druene presses forsiktig uten at stener og stilker knuses. Mosten gjæres naturlig i fire-fem dager. Etter dette går vinen gjennom","40.00","5.50","Ukjent","","","Pernod Ricard Norway AS","SKANLOG VSD AS","Engangsflasker av glass","","http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-8001"
"","8801","Martell Cordon Bleu","0.70","924.00","1320.00","Druebrennevin","Bestillingsutvalget","Uavhengig sortiment","0","0","0","0","0","","","","","","","Frankrike","Cognac Tradisjonell","Øvrige","","100% Ugni Blanc","Tradisjonell dobbeltdestillasjon i alambic30-35 års lagring i fat (340 ltr) fra Troncais","40.00","8.00","Ukjent","","Martell","Pernod Ricard Norway AS","SKANLOG VSD AS","Engangsflasker av glass","","http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-8801"
"","10701","Metaxa *****","0.70","355.00","507.10","Druebrennevin","Bestillingsutvalget","Uavhengig sortiment","0","0","0","0","0","","","","","","","Hellas","Øvrige","Øvrige","","Druer.","","38.00","Ukjent","Ukjent","","","Robert Prizelius AS","Vectura AS","Engangsflasker av glass","","http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-10701"
"","12001","Bell's Original","0.70","329.90","471.30","Whisky","Basisutvalget","Butikkategori 6","0","0","0","0","0","","","","","","","Skottland","Øvrige","Øvrige","","","","40.00","0.20","Ukjent","","Bell's Dist.","Diageo Norway AS","SKANLOG VSD AS","Engangsflasker av glass","","http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-12001"
"","12002","Bell's Original","0.35","181.90","519.70","Whisky","Basisutvalget","Butikkategori 5","0","0","0","0","0","","","","","","","Skottland","Øvrige","Øvrige","","","","40.00","0.20","Ukjent","","Bell's Dist.","Diageo Norway AS","SKANLOG VSD AS","Engangsflasker av glass","","http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-12002"
"","12101","Peter Dawson Special","0.70","299.90","428.40","Whisky","Basisutvalget","Butikkategori 3","0","0","0","0","0","","","","","","","Skottland","Øvrige","Øvrige","","","","40.00","0.10","Ukjent","","","Diageo Norway AS","SKANLOG VSD AS","Engangsflasker av glass","","http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-12101"
"","12102","Peter Dawson Special","0.35","164.90","471.20","Whisky","Basisutvalget","Butikkategori 3","0","0","0","0","0","","","","","","","Skottland","Øvrige","Øvrige","","","","40.00","0.10","Ukjent","","","Diageo Norway AS","SKANLOG VSD AS","Engangsflasker av glass","","http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-12102"
"","12201","Inverness Cream","0.70","299.90","428.40","Whisky","Basisutvalget","Butikkategori 4","0","0","0","0","0","","","","","","","Skottland","Øvrige","Øvrige","","Bygg, Mais, Vann, Gjær.","Lagret 3 år på eikefat.","40.00","Ukjent","Ukjent","","","Interbrands Norway AS","Cuveco AS","Engangsflasker av glass","","http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-12201"
"","12202","Inverness Cream","0.35","164.90","471.10","Whisky","Basisutvalget","Butikkategori 5","0","0","0","0","0","","","","","","","Skottland","Øvrige","Øvrige","","Bygg, Mais, Vann, Gjær.","Lagret 3 år på eikefat.","40.00","Ukjent","Ukjent","","","Interbrands Norway AS","Cuveco AS","Engangsflasker av glass","","http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-12202"
"","12401","The Famous Grouse","0.70","359.90","514.10","Whisky","Basisutvalget","Butikkategori 5","0","0","0","0","0","","","","","","","Skottland","Øvrige","Øvrige","","Korn.","Destillert sprit. Lagret mer enn 60 måneder på eikefat.","40.00","Ukjent","Ukjent","","Highland Dist.","Edrington Norway AS","Vectura AS","Engangsflasker av glass","","http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-12401"
"","12402","The Famous Grouse","0.35","199.90","571.10","Whisky","Bestillingsutvalget","Uavhengig sortiment","0","0","0","0","0","","","","","","","Skottland","Øvrige","Øvrige","","Korn.","Destillert sprit.Mer enn 60 mnd. på eikefat.","40.00","Ukjent","Ukjent","","Highland Dist.","Edrington Norway AS","Vectura AS","Engangsflasker av glass","","http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-12402"
"","12403","The Famous Grouse","0.05","47.90","958.00","Whisky","Basisutvalget","Butikkategori 5","0","0","0","0","0","","","","","","","Skottland","Øvrige","Øvrige","","Korn.","Destillert sprit.Mer enn 60 mnd. på eikefat.","40.00","Ukjent","Ukjent","","Highland Dist.","Edrington Norway AS","Vectura AS","Engangsflasker av glass","","http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-12403"
"","12701","Highland Park Single Malt 12 Years Old","0.70","499.90","714.10","Whisky","Basisutvalget","Butikkategori 3","0","0","0","0","0","","","","","","","Skottland","Orkney Island","Øvrige","","Korn.","Destillert sprit. Lagret mer enn 150 måneder på eikefat.","40.00","Ukjent","Ukjent","","Highland Dist.","Edrington Norway AS","Vectura AS","Engangsflasker av glass","","http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-12701"
"","12901","The Glenlivet Single Malt 12 Years Old","0.70","449.50","642.10","Whisky","Basisutvalget","Butikkategori 3","0","0","0","0","0","","","","","","","Skottland","Speyside","Øvrige","","100% maltet bygg.","Destilleres to ganger i tradisjonelle pot stills nøyaktig som for 150 år siden. 144 måneder lagring på eikefat.","40.00","Ukjent","Ukjent","","Chivas Brothers","Pernod Ricard Norway AS","SKANLOG VSD AS","Engangsflasker av glass","","http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-12901"
"","13601","Ballantine's Finest","0.70","354.90","507.00","Whisky","Basisutvalget","Butikkategori 4","0","0","0","0","0","","","","","","","Skottland","Øvrige","Øvrige","","Grain, malt.","En blanding av over 40 ulike malt whisky's og 5-6 ulike grains whiskys. Destillert to ganger. Lagret 6-8 år på fat.","40.00","Ukjent","Ukjent","","Chivas Brothers","Pernod Ricard Norway AS","SKANLOG VSD AS","Engangsflasker av glass","","http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-13601"
"","13602","Ballantine's Finest","0.35","204.90","585.40","Whisky","Bestillingsutvalget","Uavhengig sortiment","0","0","0","0","0","","","","","","","Skottland","Øvrige","Øvrige","","Grain, malt.","En blanding av over 40 ulike malt whiskys og 5-6 ulike grains whiskys. Destillert to ganger. Lagret 6-8 år på fat.","40.00","Ukjent","Ukjent","","Chivas Brothers","Pernod Ricard Norway AS","SKANLOG VSD AS","Engangsflasker av glass","","http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-13602"
"","13901","Cutty Sark","0.70","319.90","457.00","Whisky","Bestillingsutvalget","Uavhengig sortiment","0","0","0","0","0","Middels dyp gyllen.","Korn og litt vanilje.","Lett. Korn- og maltpreg.","","","","Skottland","Øvrige","Øvrige","","Bygg","Tradisjonell fremstilling i pot stills og kolonneapparater, maltwhisky- andelen kommer hovedsakelig fra Speyside. Lagringen har foregått i amerikanske eikefat og tidligere brukte sherry-fat fra oloros","40.00","Ukjent","Ukjent","","Berry Bros. & Rudd","Edrington Norway AS","Vectura AS","Engangsflasker av glass","","http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-13901"
"","14201","Grant's Family Reserve","0.70","349.90","499.90","Whisky","Basisutvalget","Butikkategori 5","0","0","0","0","0","","","","","","","Skottland","Speyside","Øvrige","","Maltwhisky og grain whisky.","Forskjellige maltwhiskyer blandes med grain whisky for å oppnå den ønskede smak. Min. 36 md. på eikefat.","40.00","Ukjent","Ukjent","","William Grant & Sons","Robert Prizelius AS","Vectura AS","Engangsflasker av glass","","http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-14201"
