foo,Varenavn,Volum,Pris,Literpris,Varetype,Fylde,Friskhet,Garvestoffer,Bitterhet,Sodme,Land,Distrikt,Underdistrikt,Alkohol,Sukker,Produsent,Emballasjetype,Vareurl,
,Fattoria di Montagliari Chianti Classico Riserva 2003,0.75,302.1,402.8,Rødvin,8,8,8,0,0,Italia,Toscana,Chianti Classico,13,5,Fatt. di Montagliari,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-9284101,
,Agostino Barb d'Asti Superiore Moliss 10,0.75,189.9,253.2,Rødvin,6,5,5,0,0,Italia,Piemonte,Barbera d'Asti,14.5,0.6,Agostina Pavia & Figli,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-9284201,
,Solo Passione Rosso Veronese,3,400.1,133.4,Rødvin,8,7,7,0,0,Italia,Veneto,Veronese,13.5,8,Antiche Terre,BIB under 4 ltr,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-9284706,
,Theresianer Vienna,0.33,40.3,122.1,Øl,7,0,0,4,3,Italia,Veneto,,5.3,Ukjent,Theresianer,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-9284902,
,Theresianer Strong Ale,0.33,48.4,146.7,Øl,8,0,0,5,3,Italia,Veneto,,8.5,Ukjent,Theresianer,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-9285002,
,Theresianer Pale Ale,0.33,43.3,131.2,Øl,6,0,0,4,5,Italia,Veneto,,6.5,Ukjent,Theresianer,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-9285102,
,Theresianer Wit Unfiltered,0.75,80.5,107.3,Øl,6,0,0,4,5,Italia,Veneto,,5.1,Ukjent,Theresianer,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-9285201,
,Theresianer Wit Unfiltered,0.33,33.3,100.9,Øl,7,8,0,5,0,Italia,Veneto,,5.1,Ukjent,Theresianer,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-9285202,
,Theresianer Premium Pils,0.33,38.3,116.1,Øl,6,0,0,5,4,Italia,Veneto,,5,Ukjent,Theresianer,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-9285302,
,Theresianer Premium Pils Unfiltered,0.75,75.5,100.7,Øl,6,0,0,6,3,Italia,Veneto,,5,Ukjent,Theresianer,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-9285401,
,Theresianer Bock Unfiltered,0.75,89.6,119.5,Øl,7,0,0,5,5,Italia,Veneto,,6.5,Ukjent,Theresianer,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-9285501,
,Theresianer Premium Lager,0.33,32.3,97.9,Øl,6,7,0,6,0,Italia,Veneto,,4.8,Ukjent,Theresianer,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-9285602,
,Doquet Vertus Premier Cru Blanc de Blancs 2004,0.75,500.1,666.8,Musserende Vin,4,2,0,0,1,Frankrike,Champagne,Øvrige,13,1,Pascal Doquet,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-9285701,
,Roc de Cambes Côtes de Bourg 2011,0.75,579.9,773.2,Rødvin,10,8,9,0,0,Frankrike,Bordeaux,Côtes de Bourg,14.5,1.6,Ch. Roc de Cambes,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-9286201,
,Juillot Corton-Perrières Grand Cru 2008,0.75,498.3,664.4,Rødvin,4,8,4,0,0,Frankrike,Bordeaux,Øvrige,13.5,2,Dom. Michel Juillot,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-9286301,
,Argiolas Turriga Isola dei Nuraghi 2009,0.75,497.9,663.9,Rødvin,8,7,8,0,0,Italia,Sardinia,Øvrige,14.5,3.2,Argiolas,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-9288301,
,Galliano Ristretto,0.5,239.9,479.8,Likør,0,0,0,0,0,Nederland,,,30,220,Lucas Bols Amsterdam,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-9288402,
,Brillet Très Vieille Réserve X.O.,1.5,1529.9,1019.9,Druebrennevin,0,0,0,0,0,Frankrike,Cognac Tradisjonell,Grande Champagne,40,3.9,J.R. Brillet,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-9289805,
,Ch. Minuty 2013,1.5,379.5,253,Rosévin,4,12,0,0,1,Frankrike,Provence,Côte de Provence,12.5,4,Ch. Minuty,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-9290305,
,Milan Cuvée Nico Widerberg Brut,1.5,629.9,419.9,Musserende Vin,6,6,0,0,1,Frankrike,Champagne,Øvrige,12,8,Jean Milan,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-9291905,
,Milan Cuvée Nico Widerberg Brut,3,1524,508,Musserende Vin,6,6,0,0,1,Frankrike,Champagne,Øvrige,12,8,Jean Milan,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-9292007,
,Palm Amber Beer,0.33,35.9,108.8,Øl,6,0,0,5,7,Belgia,Øvrige,,5.4,40,Palm Breweries NV,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-9292102,
,Oude Geuze Boon,0.38,52.9,141.1,Øl,7,10,0,8,0,Belgia,Øvrige,,7,Ukjent,Palm Breweries NV,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-9292202,
,Palm Boon Framboise,0.38,56.5,150.7,Øl,5,0,0,5,5,Belgia,Øvrige,,5,Ukjent,Palm Breweries NV,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-9292302,
