foo,Varenavn,Volum,Pris,Literpris,Varetype,Fylde,Friskhet,Garvestoffer,Bitterhet,Sodme,Land,Distrikt,Underdistrikt,Alkohol,Sukker,Produsent,Emballasjetype,Vareurl,
,St. Rémy Authentic Brandy V.S.O.P.,0.5,229.9,459.8,Druebrennevin,0,0,0,0,0,Frankrike,Øvrige,Øvrige,36,11.6,,PET,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-575102,
,Fenocchio Barolo Bussia Sottana Riserva 2005/2006,0.75,289.9,386.5,Rødvin,10,8,10,0,0,Italia,Piemonte,Barolo,14,2,Fenocchio,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-575201,
,Duboeuf Fleurie 2012,0.75,149.9,199.9,Rødvin,5,0,4,0,0,Frankrike,Burgund,Fleurie,13,2,Georges Duboeuf,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-575901,
,Le Carla 2012,2,249.9,124.9,Rødvin,8,8,9,0,0,Frankrike,Sørvest,Øvrige,12,4,Les domaines AURIOL,BIB under 4 ltr,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-576006,
,Ch. Les Roches Gaby 2010/2011,0.75,200,266.7,Rødvin,9,8,9,0,0,Frankrike,Bordeaux,Canon Fronsac,14.5,1,Ulysse Cazabonne,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-576101,
,The Crossings Pinot Noir 2013,0.75,150,200,Rødvin,8,8,7,0,0,New Zealand,Marlborough,Øvrige,13.5,2,The Crossings Estate,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-576501,
,Zonnebloem Chardonnay 2012/2013,0.75,114.9,153.2,Hvitvin,7,8,0,0,1,Sør-Afrika,Coastal Region,Stellenbosch,14,2.3,Zonnebloem Wines,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-576601,
,Santa Digna Cabernet Sauvignon 2012,0.75,128,170.7,Rødvin,7,0,8,0,0,Chile,Curicó,Øvrige,14,1,Miguel Torres,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-576801,
,Vins d'Alsace Hartweg Gewurtztraminer 2012,0.75,159,212,Hvitvin,9,7,0,0,4,Frankrike,Alsace,Øvrige,12.5,32,Kellerei Bozen,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-578101,
,Have a Nice Dei,3,385,128.3,Rødvin,7,8,7,0,0,Italia,Toscana,Øvrige,12.5,1,Cant. Dei,BIB under 4 ltr,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-578506,
,Fetzer Sundial Chardonnay 2012,0.75,119.9,159.9,Hvitvin,8,6,0,0,2,USA,California,,13,5.5,Fetzer Vineyards,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-578601,
,Ochoa Tempranillo Crianza 2009,0.75,171.5,228.7,Rødvin,7,0,6,0,0,Spania,Navarra,Øvrige,13,1,Bod. Ochoa,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-579201,
,Laphroaig Single Malt 10 Years Old,0.7,499.9,714.1,Whisky,0,0,0,0,0,Skottland,Islay,Øvrige,40,1,Laphroaig,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-579401,
,Bernhard Reibel Pinot Gris Hahnenberg 2013,0.75,169.9,226.5,Hvitvin,8,9,0,0,2,Frankrike,Alsace,,13.5,7.4,Bernhard Reibel,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-580101,
,Sognefjord økologisk eplecider,0.75,129.8,173.1,Fruktvin,8,8,0,0,2,Norge,Sogn og Fjordane,,7,4.3,Ciderhuset i Balestrand,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-580201,
,Albino Armani Prosecco Colfondo,0.75,129.9,173.2,Hvitvin,7,8,0,0,1,Italia,Veneto,,11,1,Albino Armani,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-580301,
,Langmann Schilcher Spätlese 2013,0.75,149.9,199.9,Rosévin,7,8,0,0,7,Østerrike,Weststeiermark,,9,69.4,Weing. Langmann,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-582101,
,Enologica Cassara Himmelblå Rosé 2012,0.75,124.9,166.5,Rosévin,8,8,0,0,1,Italia,Sicilia,Øvrige,12.5,3.8,Enologica Cassara,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-582201,
,Il Capolavoro Primitivo 2012,2.25,349.3,155.2,Rødvin,7,7,8,0,0,Italia,Puglia,Øvrige,13.5,10,Globus Wine,BIB under 4 ltr,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-582306,
,Eric Texier Adéle Côtes du Rhône 2013,0.75,179.9,239.9,Hvitvin,7,8,0,0,1,Frankrike,Rhône Sør,Côtes du Rhône,12.5,0.3,Eric Texier,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-582401,
,Fontedei Prado Negro 2009,0.75,229.8,306.4,Rødvin,9,6,6,0,0,Spania,Øvrige,Øvrige,13.5,1.8,Bod. Fontedei,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-583101,
,Fontedei Albayda Granada 2011,0.75,219.8,293.1,Hvitvin,8,8,0,0,1,Spania,Øvrige,Øvrige,13.5,1.5,Bod. Fontedei,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-583401,
,Este Vinho Verde 2013,0.75,96.5,128.7,Hvitvin,6,9,0,0,1,Portugal,Minho,Vinho Verde,9.5,9,Adega Cooperativa de Ponte da,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-584601,
,Leyrat La Constitution de la Norvège,0.7,3750,5357.1,Druebrennevin,0,0,0,0,0,Frankrike,Cognac Tradisjonell,Fins Bois,41,6,SNC du Maine Drilhon,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-587601,
,Finca Los Frutales Garnacha Ronda 2011,0.75,259.8,346.4,Rødvin,9,7,4,0,0,Spania,Ronda,Øvrige,14.5,2,Bod. Joaquin Fernandez,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-587701,
,Colosia Amontillado,0.38,189.8,506.1,Sherry,9,7,0,0,1,Spania,Jerez,Øvrige,18,1.8,J.C. Gutierrez Colosia,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-587902,
,Colosia Fino,0.38,169.9,453.1,Sherry,6,7,0,0,1,Spania,Jerez,Øvrige,15,0.6,J.C. Gutierrez Colosia,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-588002,
,Mureda Brut Nature Reserva 2007,0.75,119.9,159.9,Musserende Vin,7,9,0,0,1,Spania,Valdepeñas,Øvrige,12,1,Bod. Mureda,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-588101,
,Brasserie Artesienne Bon Samaritain,0.33,42.9,130,Øl,6,8,0,7,0,Frankrike,Øvrige,Øvrige,6,Ukjent,Brasserie Artesienne,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-589002,
,Fontezoppa Verdicchio di Matelica 2012,0.75,129.9,173.2,Hvitvin,8,8,0,0,1,Italia,Marche,Matelica,12.5,0.3,Cantine Fontezoppa,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-589101,
,Zanotto Col Fondo 2012,0.75,158,210.7,Hvitvin,7,8,0,0,1,Italia,Veneto,Øvrige,11,1,Riccardo Zanotto,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-589201,
,Pure Diamond,0.1,59.9,599,Vodka,0,0,0,0,0,Polen,Øvrige,,40,Ukjent,Polanin Wódek,BIB under 4 ltr,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-589706,
,Casual White 2012,0.75,109.9,146.5,Hvitvin,8,8,0,0,1,Portugal,Ribatejo,Øvrige,12.5,5.9,Quinta da Alorna,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-589801,
,Casual Red 2011,0.75,109.9,146.5,Rødvin,8,8,5,0,0,Portugal,Ribatejo,Øvrige,12.5,8.2,Quinta da Alorna,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-589901,
,Moss 2014 Umbria Rosso,0.75,139.9,186.5,Rødvin,7,7,6,0,0,Italia,Umbria,Øvrige,14,2.9,Mercatello Andrea Fasola Bolog,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-590001,
,Colleja Douro 2012,0.75,119.9,159.9,Rødvin,9,6,7,0,0,Portugal,Douro,Øvrige,13.5,2.2,Lua Cheia em Vinhas Velhas,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-590201,
,Francis Ford Coppola Diamond Collection Zinfandel 2011,0.75,173.9,231.9,Rødvin,9,6,8,0,0,USA,California,,13.5,4.89,Francis F. Coppola,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-590601,
,Francis Ford Coppola Rosso 2011,0.75,150.5,200.7,Rødvin,8,6,7,0,0,USA,California,,13.5,7,Francis F. Coppola,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-590701,
,Francis Ford Coppola Chardonnay 2011,0.75,150.5,200.7,Hvitvin,8,8,0,0,1,USA,California,,13.5,5.28,Francis F. Coppola,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-590801,
,Berthier Pouilly-Fumé 2012,0.75,169.9,226.5,Hvitvin,7,8,0,0,1,Frankrike,Loire,Pouilly-Fumé,12.5,0.59,Vignobles Berthier,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-591901,
,Berthier Clairneaux Sancerre 2012,0.75,179.9,239.9,Hvitvin,5,9,0,0,1,Frankrike,Loire,Sancerre,12.5,0.43,Vignobles Berthier,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-592001,
,Roland Lavantureux Petit Chablis 2012,0.75,159.9,213.2,Hvitvin,7,8,0,0,1,Frankrike,Burgund,Chablis,12.5,Ukjent,Roland Lavantureux,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-592101,
,Geisweiler Bourgogne Chardonnay 2012,2,299.9,149.9,Hvitvin,7,8,0,0,1,Frankrike,Burgund,Bourgogne,12.5,1.8,Geisweiler & Fils,BIB under 4 ltr,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-592506,
,Zind-Humbrecht Riesling Clos Häuserer 2012,0.75,255.4,340.5,Hvitvin,9,8,0,0,2,Frankrike,Alsace,,12.5,8,Zind-Humbrecht,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-592701,
,To Øl Black Ball Porter,0.33,57,172.7,Øl,7,0,0,5,4,Danmark,Øvrige,,8,Ukjent,To Øl,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-593102,
,Giovanna Tantini Bardolino Chiaretto 2012,0.75,163.9,218.5,Rosévin,8,8,0,0,1,Italia,Veneto,Bardolino,12.5,2.7,Giovanna Tantini,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-593401,
,Santa Cristina Rosato 2012,0.75,129.9,173.2,Rosévin,7,7,0,0,1,Italia,Toscana,Øvrige,11,2.3,Cant. Santa Cristina,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-593501,
,Orkan Akevitt,0.35,309.7,884.9,Akevitt,0,0,0,0,0,Norge,Aust-Agder,,50,6,Agder Brenneri - K.G. Puntervo,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-593602,
,Agder Brenneri Distilled Gin,0.5,307.4,614.8,Gin,0,0,0,0,0,Norge,Aust-Agder,,40,Ukjent,Agder Brenneri - K.G. Puntervo,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-593902,
,La Croix Montjoie L´impatiente 2012,0.75,168,224,Hvitvin,7,8,0,0,0,Frankrike,Burgund,Vézelay,12,0.2,Dom. La Croix Montjoie,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-594701,
,La Croix Montjoie L´élégante 2012,0.75,189,252,Hvitvin,8,8,0,0,0,Frankrike,Burgund,Vézelay,12.5,1.5,Dom. La Croix Montjoie,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-594801,
,Bodega La Serrana 2012,2,259.9,130,Rødvin,8,8,8,0,0,Spania,Bierzo,Øvrige,13,2,Bodega La Serrana,BIB under 4 ltr,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-594906,
,Müller-Grossmann Steiner Point Riesling 2012,0.75,175,233.3,Hvitvin,6,9,0,0,1,Østerrike,Kremstal,Øvrige,12.5,1.5,Weing. Müller-Grossmann,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-595001,
,Müller-Grossmann HM7 Grüner Veltliner 2012,0.75,155,206.7,Hvitvin,4,8,0,0,1,Østerrike,Niederösterreich,kamptal,12.5,1,Weing. Müller-Grossmann,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-595101,
,St. Austell Proper Black IPA,0.5,44.9,89.8,Øl,7,0,0,5,4,England,Øvrige,Øvrige,6,Ukjent,St. Austell Brewery,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-595202,
,Boesch Breitenberg Riesling 2011,0.75,209.9,279.9,Hvitvin,9,10,0,0,1,Frankrike,Alsace,,14,1.3,Dom. Léon Boesch,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-595301,
,Meinklang Grüner Veltliner «Wörth» 2013,0.75,119.9,159.9,Hvitvin,7,8,0,0,1,Østerrike,Burgenland,Øvrige,11,1.2,Meinklang,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-595401,
,Château Romanin Les Baux-de-Provence Rosé 2012,0.75,170.5,227.3,Rosévin,7,8,0,0,1,Frankrike,Provence,Les Baux-de-Provence,13.5,1,Ch. Romanin,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-595501,
,Livsins Vatn Akvavitt,0.5,219.9,439.8,Akevitt,0,0,0,0,0,Færøyene,Øvrige,,38,Ukjent,Dism,PET,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-596302,
,Smirnoff Black Label,0.7,479.9,685.6,Vodka,0,0,0,0,0,England,Øvrige,,40,Ukjent,The Smirnoff Co.,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-596401,
,Geiler Riesling Terroirs d´Alluvions 2012/2013,0.75,117.9,157.2,Hvitvin,8,9,0,0,1,Frankrike,Alsace,Øvrige,12,4.5,Cave Jean Geiler,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-596601,
,Perrière Sancerre 2012,0.75,199,265.3,Hvitvin,5,8,0,0,1,Frankrike,Loire,Sancerre,12.5,2.13,Dom. de la Perrière,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-597101,
,Hornbeer Funky Monk,0.5,89.9,179.8,Øl,8,7,0,7,0,Danmark,Øvrige,,8.8,Ukjent,Hornbeer,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-597202,
,Ægir Siv Witbier,0.5,64.9,129.8,Øl,7,8,0,6,0,Norge,Sogn og Fjordane,,5.5,Ukjent,Ægir Bryggeri,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-597402,
,Ægir Bryggve Blonde Ale,0.5,64.9,129.8,Øl,7,7,0,7,0,Norge,Sogn og Fjordane,,6,Ukjent,Ægir Bryggeri,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-597702,
,Ægir Mai Helles Bock,0.5,59.9,119.8,Øl,6,7,0,7,0,Norge,Sogn og Fjordane,,6.5,Ukjent,Ægir Bryggeri,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-597902,
,Petit Perriere Pinot Noir Rose 2012,0.75,135,180,Rosévin,5,9,0,0,1,Frankrike,Loire,,12.5,0.4,Saget La Perrière,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-598301,
,Petit Perriere Sauvignon 2012,0.75,135,180,Hvitvin,5,11,0,0,1,Frankrike,Loire,,12.5,0.3,Saget La Perrière,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-598401,
,Zusslin Pfingstberg Riesling Vendange Tardive Grand Cru 2000,0.75,349,465.3,Hvitvin,9,8,0,0,5,Frankrike,Alsace,Øvrige,14,33.6,Dom. Valentin Zusslin,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-598501,
,Zusslin Clos Liebenberg Riesling 2010,0.75,238,317.3,Hvitvin,7,7,0,0,1,Frankrike,Alsace,Øvrige,12.5,1.5,Dom. Valentin Zusslin,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-598601,
,Zusslin Pfingstberg Riesling Grand Cru 2008,0.75,299,398.7,Hvitvin,7,8,0,0,3,Frankrike,Alsace,Øvrige,13,11.8,Dom. Valentin Zusslin,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-598701,
,Saes Dão 2012,0.75,119.9,159.9,Rødvin,9,8,8,0,0,Portugal,Beiras,Dão,13,4.5,Alvaro Castro,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-598801,
,Pommier Chablis 1er Cru Cote de Lechet 2011,1.5,459.9,306.6,Hvitvin,8,9,0,0,1,Frankrike,Burgund,Chablis,13,0.5,Isabelle et Denis Pommier,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-598905,
,Collinato Montepulciano d'Abruzzo 2012,0.75,125,166.7,Rødvin,8,6,8,0,0,Italia,Abruzzo,Montepulciano d'Abru,13,4.5,Winehouse Norway,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-600101,
,Greenfield Vodka,0.7,289,412.9,Vodka,0,0,0,0,0,Frankrike,Øvrige,Øvrige,37.5,Ukjent,Accelerate Brands,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-600301,
,Manzoni La Matinera Dolcetto d'Alba 2012,0.75,119,158.7,Rødvin,7,8,8,0,0,Italia,Piemonte,Dolcetto d'Alba,12.5,3,Rocche dei Manzoni,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-600401,
,Samaroli Dailuaine 1994,0.7,1240.1,1771.6,Whisky,0,0,0,0,0,Skottland,Speyside,,45,Ukjent,Samaroli,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-600801,
,Samaroli Haiti Rum 2004 Cask 5,0.7,1141.6,1630.9,Rom,0,0,0,0,0,Skottland,Øvrige,,45,Ukjent,Samaroli,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-600901,
,Malmgården Belge,0.5,69.9,139.8,Øl,8,7,0,7,0,Finland,Øvrige,,8,Ukjent,Malmgården Panimo Oy,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-602302,
,Codorniu Ecológica Brut,0.75,119.9,159.9,Musserende Vin,7,6,0,0,3,Spania,Catalonia,Penedès,11.5,9,Codorníu,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-602601,
,Collosorbo Rosso di Montalcino 2011,0.75,176.4,235.2,Rødvin,8,8,8,0,0,Italia,Toscana,Montalcino,14,1.4,Ten. Di Collosorbo,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-602801,
,Darnat Volnay 2011,0.75,349.9,466.5,Rødvin,9,8,8,0,0,Frankrike,Burgund,Volnay,13,0.24,Dom. Darnat,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-603001,
,Darnat Bourgogne La Jumalie Chardonnay 2011,0.75,219.9,293.2,Hvitvin,9,6,0,0,1,Frankrike,Burgund,Bourgogne,13,0.2,Dom. Darnat,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-603101,
,Darnat Puligny-Montrachet Les Champs Gains 1er Cru 2011,0.75,459.9,613.2,Hvitvin,9,7,0,0,1,Frankrike,Burgund,Puligny-Montrachet,13.5,0.2,Dom. Darnat,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-603201,
,Darnat Meursault Goutte d´Or 1er Cru 2011,0.75,479.9,639.9,Hvitvin,9,7,0,0,1,Frankrike,Burgund,Meursault,13.5,0.2,Dom. Darnat,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-603301,
,Darnat Meursault Clos Richemont 1er Cru 2011,0.75,479.9,639.9,Hvitvin,9,7,0,0,1,Frankrike,Burgund,Meursault,13.5,0.22,Dom. Darnat,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-603401,
,Darnat Meursault Clos du Dom. 2011,0.75,359.9,479.9,Hvitvin,9,6,0,0,1,Frankrike,Burgund,Meursault,13,0.25,Dom. Darnat,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-603501,
,La Soufrandière Pouilly-Vinzelles 2012,0.75,229,305.3,Hvitvin,8,8,0,0,1,Frankrike,Burgund,Pouilly-Vinzelles,13,2.7,Bret Brothers,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-603601,
,Grifone Primitivo 2012,3,379,126.3,Rødvin,7,8,7,0,0,Italia,Puglia,Øvrige,13,8,Grifone,BIB under 4 ltr,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-603806,
,Marie Thibault-Cabrit La roue qui tourne 2012,0.75,179.9,239.9,Rosévin,7,8,0,0,1,Frankrike,Øvrige,Øvrige,12.5,3.2,Marie Thibault-Cabrit,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-603901,
,Jacob's Creek Organic Chardonnay 2013,3,369,123,Hvitvin,7,8,0,0,1,Australia,South Eastern Austra,,13,3.9,Orlando Wines,BIB under 4 ltr,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-604306,
,J.B. Becker Eltviller Sonnenberg Spätlese 1983,0.75,526,701.3,Hvitvin,9,8,0,0,4,Tyskland,Rheingau,Øvrige,9.5,33.2,J.B. Becker,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-604401,
,Masottina Cuvée Rosé Extra Dry,0.75,159,212,Musserende Vin,5,9,0,0,2,Italia,Veneto,Øvrige,11.5,14,Masottina,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-604701,
,Zeni Bardolino Chiaretto Classico Vigne Alte 2012,0.75,129.9,173.2,Rosévin,7,8,0,0,2,Italia,Veneto,Bardolino,12,7,Zeni,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-604801,
,Lucien le Moine Arioso Châteauneuf-du-Pape 2009,0.75,1199.9,1599.9,Rødvin,9,7,6,0,0,Frankrike,Rhône Sør,Châteauneuf-du-Pape,14,2.5,Lucien le Moine,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-605001,
,Saouma Magis Chateauneuf-du-Pape 2011,0.75,699.9,933.2,Hvitvin,8,7,0,0,1,Frankrike,Rhône Sør,Châteauneuf-du-Pape,14,2.5,Rotem & Mounir Saouma,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-605101,
,Lucien Le Moine Châteauneuf-du-Pape Omnia 2011,0.75,629.9,839.9,Rødvin,8,7,6,0,0,Frankrike,Rhône Sør,Châteauneuf-du-Pape,14,2.5,Lucien le Moine,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-605301,
,Contadi Castaldi Franciacorta Brut,0.75,249,332,Musserende Vin,7,8,0,0,3,Italia,Lombardia,Franciacorta,13,5.7,Contadi Castaldi,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-605401,
,Contadi Castaldi Franciacorta Satèn,0.75,285,380,Musserende Vin,7,7,0,0,3,Italia,Lombardia,Franciacorta,12.5,6.4,Contadi Castaldi,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-605501,
,Ch. Saint-Maur Rosé 2013,0.75,129.9,173.2,Rosévin,7,7,0,0,1,Frankrike,Rhône Sør,Øvrige,12.5,2,Ch. Saint-Maur,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-605701,
,Santero Prosecco Extra Dry,0.75,129,172,Musserende Vin,5,8,0,0,3,Italia,Veneto,,11.5,13,Santero SPA,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-611601,
,Altareggia Prosecco Brut,0.75,117,156,Musserende Vin,5,8,0,0,3,Italia,Veneto,Øvrige,11,11,Altadonna,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-611701,
,Altareggia Prosecco Brut,1.5,265,176.7,Musserende Vin,5,8,0,0,3,Italia,Veneto,,11,11,Altadonna,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-611705,
,Bertani Valpolicella Ripasso 2011,0.75,149.9,199.9,Rødvin,8,8,7,0,0,Italia,Veneto,,13.5,5,Cave G.B. Bertani,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-611901,
,BrewDog Cocoa Psycho,0.33,69.9,211.8,Øl,10,7,0,8,0,Skottland,Øvrige,,10,Ukjent,Brewdog Brewery,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-612302,
,BrewDog Jack Hammer,0.33,49.9,151.2,Øl,6,7,0,8,0,Skottland,Øvrige,,7.2,Ukjent,Brewdog Brewery,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-612402,
,Innis & Gunn Irish Whiskey Finnish,0.33,42.9,130,Øl,8,5,0,4,0,Skottland,Øvrige,,7.4,Ukjent,Innis & Gunn,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-612602,
,BrewDog Abstrakt AB:12,0.38,144.9,386.4,Øl,8,0,0,5,6,Skottland,Øvrige,,11.7,Ukjent,Brewdog Brewery,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-612702,
,Olav III XO,0.7,659.9,942.7,Druebrennevin,0,0,0,0,0,Frankrike,Cognac Tradisjonell,,40,16.2,Ch. de Montifaud,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-612901,
,Puy Arnaud Cuvée Bistrot 2012,0.75,187.1,249.5,Rødvin,7,6,4,0,0,Frankrike,Bordeaux,Côtes de Bordeaux,13,1.2,Clos Puy Arnaud,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-613001,
