productId;producerId;
161701;ioppa;
161801;ioppa;
162201;chlepuy;
162301;chlepuy;
162502;uglyduckbrewingco;
162602;uglyduckbrewingco;
162701;niepoort;
163601;epleblomstenas;
163801;sceacalonsgur;
163902;boizel;
164101;anticadistilleriaquagliasrl;
164901;cattier;
165002;chraymondlafon;
165101;arcus;
165102;arcus;
165602;chcloshautpeyraguey;
165801;weingheinrich;
165901;arcus;
165902;arcus;
166001;stelladicampaltoazagrsa;
166301;stelladicampaltoazagrsa;
166401;weingheinrich;
166601;cadelbosco;
166701;weingheinrich;
166801;coatesseely;
167107;terradaligi;
167201;chmargaux;
167502;arcus;
167602;arcus;
167901;azagrandreaoberto;
168001;azagrandreaoberto;
168102;eggegard;
168402;arcus;
168801;weingreichsratvonbuhl;
169401;cantinecalaf;
169501;cantinecalaf;
169601;cantinecalaf;
169901;domdesaphillantes;
170001;gramona;
170101;cadelbosco;
170301;tenutadicastellaro;
170401;tenutadicastellaro;
170501;bodmontecillo;
170502;bodmontecillo;
170505;bodmontecillo;
170601;chateaubeausejourbecot;
170801;marceldeiss;
170905;chateaularoque;
172201;nominrenardvillevenard;
172401;terredisava;
172501;azvinpalladino;
172601;odoardo;
172701;chdessarrins;
172801;chdessarrins;
173001;fattlaila;
173101;mastrojanni;
173201;mastrojanni;
173301;mastrojanni;
173401;castella;
173501;niepoort;
173601;castellani;
173701;castellani;
174001;azvitleonildopieropan;
174201;zindhumbrecht;
174301;zindhumbrecht;
174401;zindhumbrecht;
174502;szepsytokaji;
174702;szepsytokaji;
174901;azagrnovaia;
175101;castella;
175201;azagrmontaribaldi;
175301;vinicolaserenasrl;
175601;terrazzedelletna;
175701;taliskerdist;
176101;fontanafredda;
177005;montesecondo;
177101;azagrlucignano;
177205;valliunite;
177302;azagrlucignano;
177401;lacolombinadicaselliannam;
177701;migueltorres;
177705;migueltorres;
177801;cognactesseron;
178402;norrebrobryghus;
179101;adelinawines;
179202;amanosrl;
180101;someyoungpunks;
180201;someyoungpunks;
180301;someyoungpunks;
180401;fattnittardi;
180505;gunterknstler;
180701;gunterknstler;
180802;weingmarkusmolitor;
181305;weinghexamer;
181405;weingmarkusmolitor;
181805;weingkoehlerruprecht;
182401;carmcasaagrroboredomadeir;
185101;chdelaselve;
185401;gigirosso;
185506;fattdeibarbi;
185801;montresor;
185901;castellodicigognola;
186001;castellodicigognola;
186101;castellinvilla;
186201;laphroaig;
186301;castellinvilla;
186402;castellinvilla;
187101;havanaclub;
187201;irishdist;
187301;gonzalezbyass;
187701;angiolinomaule;
187801;montesecondo;
187901;montesecondo;
188001;thibaultligerbelair;
188101;thibaultligerbelair;
188201;thibaultligerbelair;
188301;thibaultligerbelair;
188401;robertchevillon;
188501;robertchevillon;
188601;robertchevillon;
188701;robertchevillon;
188801;weingmantlerhof;
189001;dominiquelaurent;
189101;dommichelmagnien;
189201;weingallram;
189301;domdefregate;
189401;domdefregate;
189601;socagraldrighetti;
189701;socagraldrighetti;
189802;socagraldrighetti;
190102;jbbecker;
190201;bonfiglio;
190301;wiigwinesas;
190401;wiigwinesas;
190505;xaviervins;
190601;dompujolizard;
190701;johanvineyards;
190901;johanvineyards;
191101;johanvineyards;
191201;arvisa;
191305;scopetani;
191401;domdupegau;
191501;domdupegau;
191701;taupenotmerme;
192001;jlvergnon;
192305;chpotensac;
192601;lindemanswines;
192701;beringervineyards;
192801;domfl;
192901;domfl;
193001;manincor;
193101;poderesancristoforo;
193201;glugltd;
193402;agderbrennerikgpuntervo;
193501;poderesancristoforo;
193708;chguiraud;
193901;chansonperefils;
194101;costersdelpriorat;
194202;brasseriestfeuillien;
194301;kinnbryggerias;
194405;brasseriestfeuillien;
194601;bodpirineos;
194802;hornbeer;
194902;hornbeer;
195102;fanobryghus;
195202;fanobryghus;
195301;verrocchio;
195401;frapin;
195501;gosset;
195602;aegirbryggeri;
195702;hooknorton;
195802;tuckerbru;
195901;bodegajoaquinrebolledosa;
196001;ortovinsscp;
196101;ortovinsscp;
196201;ortovinsscp;
196301;bodyvinpujanza;
196401;benjaminromeo;
196501;benjaminromeo;
196701;viacasasilva;
196801;albinoroccadiangelorocca;
196901;albinoroccadiangelorocca;
197001;cattier;
197101;azagrcravanzola;
197201;azagrcravanzola;
197301;azagrcravanzola;
197401;gramona;
198002;coisbo;
199402;macksolbryggeriogmineralva;
199501;nikolaihofwachau;
201001;meinklang;
201102;indslevbryggeri;
201201;pierrefrick;
201302;agderbrennerikgpuntervo;
201401;weingkhlinggillot;
201501;ciropicariello;
201802;coisbo;
201902;coisbo;
202002;coisbo;
202102;coisbo;
202202;coisbo;
202302;coisbo;
202401;charlesdecazanove;
202701;venturini;
204302;weingutchberres;
204401;arcus;
204606;allegrini;
207806;cantinadeldolcettodidoglia;
208701;theglendronachdist;
208901;domainemartinfaudot;
209001;casagirelli;
209101;quintadocrasto;
209201;cesarinisforza;
209301;domainemartinfaudot;
210702;amagerbryghus;
210802;amagerbryghus;
211302;amagerbryghus;
211402;amagerbryghus;
212401;argentowine;
212501;argentowine;
213201;kinnbryggerias;
216601;fetzervineyards;
217701;domaineduvigier;
219101;domalatache;
222501;cavedusieurdarques;
222606;thecrossingsestate;
222702;abbayedesrocs;
222806;dommontrose;
222902;gwatkin;
229601;baladin;
229702;abbayedesrocs;
229802;malmgardsbryggeriab;
229902;malmgardsbryggeriab;
230101;gordonmacphail;
230301;gordonmacphail;
230501;gordonmacphail;
230601;gordonmacphail;
230701;gordonmacphail;
232101;motchandon;
233701;masiagr;
233702;masiagr;
236002;pernod;
237301;gordonmacphail;
237401;gordonmacphail;
240901;laverdosa;
241001;baladin;
241102;einstkbrewery;
241202;einstkbrewery;
241302;einstkbrewery;
241802;lenzmoser;
242301;viasantacarolina;
242602;palmbreweriesnv;
242702;boulevardbrewingco;
242801;casagirelli;
242901;viasantarita;
243001;chteaugreysacsas;
243401;ahardy;
243601;cwbalandlangebartels;
243702;browaramber;
243801;weinhauseifelpfeiffer;
243901;wagnerstempel;
244001;tenlameridiana;
244101;casetta;
244201;casetta;
245201;adelphidist;
245701;azagrbrunelli;
245801;andreola;
246001;anejosdealtura;
246501;sogevinusfinewines;
246601;whitehorsedist;
246701;chgodardbellevue;
253601;dulcevidaspirits;
253701;dulcevidaspirits;
253901;azagrletorridicampiglio;
254201;raimat;
254501;lindemanswines;
254502;lindemanswines;
256101;polroger;
256801;carussin;
256901;camillodonati;
257101;altiacorp;
257201;meinklang;
257301;camillodonati;
257401;captainmorganrumdist;
258101;penfolds;
258201;jeanclaudebougrier;
258301;robertoatleyvineyards;
258401;bigi;
259501;jggrant;
259801;lochlins;
260201;brownbrothers;
260501;conchaytoro;
260502;conchaytoro;
262202;lenzmoser;
263702;ringnes;
264201;chdutariquet;
264701;maisonglas;
264801;maisonglas;
264805;maisonglas;
265701;barrancooscuro;
265801;barrancooscuro;
265901;barrancooscuro;
266001;cieloeterraspamontorso;
266201;barrancooscuro;
266901;martinirossi;
266902;martinirossi;
266907;martinirossi;
267001;barrancooscuro;
267101;barrancooscuro;
267201;barrancooscuro;
267301;barrancooscuro;
267401;bodbentomiz;
267502;bodbentomiz;
270101;canelli;
271101;arcus;
271401;jeanlouisquinson;
271601;viasantacarolina;
271801;viasantarita;
272501;domclauderiffault;
272605;henridelanzac;
272901;brlhardy;
273605;vanvolxem;
273701;jacobsdalwineest;
273901;bodpinord;
274001;vanvolxem;
274201;baileyco;
274202;baileyco;
274205;baileyco;
274701;dalzocchio;
275001;azagrroagna;
275101;platinumitalia;
275206;platinumitalia;
275301;azagrroagna;
275401;azagrroagna;
275501;douglasgreenbellingham;
275701;weingpichlerkrutzler;
275801;weingpichlerkrutzler;
275901;douglasgreenbellingham;
276001;douglasgreenbellingham;
276101;greywackevineyards;
276301;agros;
277901;migueltorres;
277902;migueltorres;
278201;domcharlesaudoin;
278401;mariecourtin;
278601;mariecourtin;
278701;weingutpix;
279001;chmusar;
279201;marchantinori;
279202;marchantinori;
279205;marchantinori;
279207;marchantinori;
279301;azulygaranza;
279502;oliveroliver;
279601;glengoynedist;
279701;glengoynedist;
279801;caveauxcomtadins;
280001;glengoynedist;
280201;glengoynedist;
280301;chdemonbazillac;
280402;brewdogbrewery;
280602;brewdogbrewery;
280701;heritiershclement;
280804;nogneodetkompromisslosebry;
281402;castellani;
281501;remelluri;
281601;jeanmarcbernhard;
281801;migueltorres;
281807;migueltorres;
281901;cantlunaebosonisrl;
282101;patrickbaudouin;
282401;migueltorres;
282601;patrickbaudouin;
283101;hugelfils;
284001;codornu;
284101;jeanlaurent;
284201;jeanlaurent;
284301;jeanlaurent;
284401;jeanlaurent;
284604;nogneodetkompromisslosebry;
284801;tensilvionardi;
285101;freixenet;
285105;freixenet;
285201;plomariouzodistillery;
285504;damm;
285602;damm;
285706;empson;
286201;pierremoncuit;
286501;pierremoncuit;
286601;viasantacarolina;
286801;domdesponctys;
287001;domdesponctys;
287301;domjeanmichelstephan;
287401;azagrpoggiosalvi;
287506;bocelli;
287601;azagrpoggiosalvi;
287701;viasantarita;
287801;cantlungarotti;
287901;azagrpoggiosalvi;
288001;chdunozet;
288201;vietti;
288701;dommicheljuillot;
289401;uninvitivinicola;
289501;orlandowines;
289902;vsfinland;
290301;macdonaldmuir;
290904;lesprodrunis;
292701;carlopellegrino;
292801;azagrcogno;
292805;azagrcogno;
292901;azagrcogno;
293001;azagrcogno;
293101;azagrcogno;
293201;azagrcogno;
293501;baronphilippederothschild;
294001;paodoscunhasdesantar;
294101;sasbthomassin;
294201;domjosephdrouhin;
294401;ghmumm;
294701;cinzano;
294901;alko;
295101;hirschvineyards;
295301;viasanpedro;
295302;viasanpedro;
295306;viasanpedro;
295601;migueltorres;
295602;migueltorres;
295801;hirschvineyards;
297001;martinirossi;
298502;alko;
298601;ruinart;
298605;ruinart;
299101;migueltorres;
299102;migueltorres;
299201;lariojaalta;
299301;beringervineyards;
299401;campagnola;
299601;dopffirion;
299602;dopffirion;
299605;dopffirion;
306402;abbayedesrocs;
306502;slottskllansbryggeri;
306601;wiigwinesas;
306701;wiigwinesas;
306801;wiigwinesas;
306901;wiigwinesas;
307001;wiigwinesas;
307101;hubertweber;
307301;antoninrodet;
307401;antoninrodet;
308101;vignetivillabella;
308201;vignetivillabella;
308301;podsinaglio;
308401;scarzello;
308501;famillevauthier;
308602;fanobryghus;
308702;fanobryghus;
308901;chdesuduiraut;
309001;zarate;
309101;domcourbis;
309301;hechtbannier;
309501;azagrmonteraponi;
309801;azagrvillaspinosa;
309901;dalmaso;
310001;nordicseawineryab;
310201;giulianegri;
310301;nordicseawineryab;
311701;fairview;
311801;bunnahabhaindist;
312001;weingaxelpauly;
312201;normandinmercier;
312401;jeanfillioux;
312501;famillevalleintercinier;
312601;jeanfillioux;
312901;jnormandinmercier;
313001;weingaxelpauly;
313101;weingaxelpauly;
313201;bodisidromilagro;
313401;weingsiener;
313601;jeanfoillard;
314101;sergedagueneau;
315201;drloosen;
315501;ferrand;
316301;thecrossingsestate;
316501;signorelli;
317001;szendegbor;
317101;szendegbor;
317901;douglaslaingco;
318001;hunterhamiltonco;
318204;douglaslaingco;
318401;douglaslaingco;
318801;normandinmercier;
318901;normandinmercier;
319002;domdupont;
319101;hetanker;
319102;hetanker;
319301;maisonglas;
319401;weingrobertweil;
319701;chducrubeaucaillou;
319802;ericbordelet;
319901;cantinanervi;
320205;chbeaucastel;
320501;azagrsartarelli;
320701;chclimens;
320801;chclimens;
320901;ribautoisctesdulotlecarl;
324401;canttramin;
324501;canttramin;
324604;churchillgraham;
324704;nogneodetkompromisslosebry;
325401;lisebaccara;
325506;spier;
325701;singhacorporationcoltd;
325801;bonpas;
325901;yanndurieux;
326001;cousiomacul;
326101;yanndurieux;
327301;valtvodkacompany;
329101;barondescalin;
331101;azagrfratellipisoni;
331601;astoriaacsrl;
331605;astoriaacsrl;
331701;gordonmacphail;
333901;masiagr;
333905;masiagr;
334001;codornu;
334201;mullineuxfamilywines;
334301;piperheidsieck;
334401;loncebocquet;
336001;masiagr;
338601;ifabbri;
338701;ifabbri;
341901;dvtwinery;
342101;mullineuxfamilywines;
344401;bodcampoviejo;
345301;bodegasurbina;
345501;victorianalpswinery;
345802;slottskllansbryggeri;
346001;fattdeibarbi;
346301;lariojaalta;
346401;campagnola;
347201;othegraven;
347601;poggiogagliardo;
350001;pauletiennesaintgermain;
350701;aziendafacchin;
351101;cellerronadelles;
351201;cellerronadelles;
351301;bernardalbert;
351401;ewaldgruber;
351601;allieddist;
351701;ewaldgruber;
351901;ewaldgruber;
352201;marqdauvign;
352501;wolfblasswines;
352601;wolfblasswines;
352606;wolfblasswines;
352901;dulcevidaspirits;
353102;cointreau;
353201;agrvallone;
353401;lariojaalta;
353501;pagocasagran;
353701;weingkarlfritsch;
353901;fattdeibarbi;
354201;fortantdefrance;
354401;pagocasagran;
354501;krug;
354502;krug;
354505;krug;
354901;michaelgindl;
355001;pagocasagran;
355101;pagocasagran;
355601;michaelgindl;
355701;poggiogagliardo;
355801;marqdelaconcordia;
355901;domjfaiveley;
356001;michaelgindl;
356401;weingwachterwiesler;
356501;lindemanswines;
356601;weingwachterwiesler;
356701;ruinart;
356901;weingwachterwiesler;
357706;signevignerons;
357801;earlrenefleitheschard;
358301;pasqua;
358302;pasqua;
360901;marqdemurrieta;
360905;marqdemurrieta;
361901;vigneronsdupallet;
362001;azagrvesevus;
363801;chichibudistillery;
364001;chichibudistillery;
364101;chichibudistillery;
365006;viaconosur;
365201;boriskovak;
365301;azagrmonteraponi;
365501;orionwines;
365601;baronfuent;
365801;fattoriacasabianca;
366401;lesgrandschaisdefrance;
366601;bodtrapiche;
366901;gestionipiccini;
367001;bodtrapiche;
367101;gestionipiccini;
368001;reinepdauque;
369501;alainhudelotnoellat;
369801;alainhudelotnoellat;
370601;louisfreyburger;
371301;bodlagunilla;
371401;alainhudelotnoellat;
371501;beringervineyards;
372306;cavedesvinsdesancerre;
372401;adelphidist;
374606;anecooplavia;
374701;chansonperefils;
375601;martinirossi;
376002;giacomoborgognofigli;
376101;hritierscastja;
376901;weingsaprm;
377701;vinhosmessias;
378501;highlanddistillersltd;
378601;vignjrmequiot;
378701;brugalcocpora;
378801;winehouseas;
379701;arcus;
379801;viasanpedro;
379901;bodcampoviejo;
380201;foncalieu;
380406;accoladewines;
380601;winehousenorway;
381606;domdeschenevires;
381901;weinggransfassian;
382001;weinggransfassian;
382201;weinggransfassian;
382301;rehkendermann;
382401;agrvallone;
382501;viafalernia;
383701;domhouchart;
383801;taliskerdist;
384001;wiigspiritsas;
384101;johnwalkersons;
384201;terradaligi;
384301;johnwalkersons;
384401;johnwalkersons;
384501;tiffon;
384801;champagnemalard;
384901;champagnemalard;
385001;champagnemalard;
391401;hijosdeantoniobarcel;
391501;caserodedueas;
391705;bodviamayor;
392201;bodseoriodebocos;
393301;10international;
393506;byrnevineyards;
393601;byrnevineyards;
393701;byrnevineyards;
393806;byrnevineyards;
393906;vincentegandia;
394001;enoitalia;
396201;marenasvioybod;
396301;marenasvioybod;
396601;marenasvioybod;
396701;bodcauzn;
400701;bodfschatz;
400801;bodfschatz;
400901;bodfschatz;
401501;bodfschatz;
401601;bodfschatz;
401701;bodfschatz;
401801;bodcauzn;
401901;bodcauzn;
402001;bodcauzn;
402701;bodmalagavirgen;
404001;georgbreuer;
404601;marcoabella;
405501;estandon;
405601;davidsautereau;
405901;plaisirdemerle;
406201;azagrlaghidina;
406301;azagrlaghidina;
406401;azagrlaghidina;
409501;charlesmackinlay;
409801;uniteddrinks;
410001;domsalmon;
410101;carmelroadwinery;
410201;carmelroadwinery;
410401;frapin;
411106;ceciliaberetta;
411201;odfjellvineyards;
411301;odfjellvineyards;
411401;bodsantajulia;
411601;espelt;
412401;conchaytoro;
412701;cantriondo;
412801;domdesroches;
412901;guthermannsberg;
413001;domdesroches;
413101;domdesroches;
413301;guthermannsberg;
413401;domdesroches;
413501;quintadamuradella;
413601;quintadamuradella;
413701;didierpabiot;
413801;alfieroboffa;
414001;cantcastelvecchio;
415001;weingfranzknstler;
415101;weingfranzknstler;
415401;weingfranzknstler;
415501;weingfranzknstler;
416001;augustkesseler;
416101;weinghexamer;
416401;domlouisboillotfils;
416501;domarlaudpreetfils;
416601;domlouisboillotfils;
416701;domarlaudpreetfils;
416801;matrotthierryetpascale;
416901;domarlaudpreetfils;
417001;domlouisboillotfils;
417101;matrotthierryetpascale;
417201;matrotthierryetpascale;
417301;domschlumberger;
417602;haandbryggeriet;
417802;haandbryggeriet;
417902;mickeyfinnliquorcomp;
418001;andrlurton;
418201;contericci;
418301;mazzei;
418606;winehousenorway;
418902;reichsgrafvonkesselstatt;
419001;reichsgrafvonkesselstatt;
419304;nogneodetkompromisslosebry;
419604;nogneodetkompromisslosebry;
419704;bridgeroadbrewers;
420301;cantvalpantena;
420501;fattdibacchereto;
420701;chanterives;
420901;chanterives;
423701;chdissan;
423801;chgrandpuylacoste;
423901;chhautbailly;
424001;chbranaireducru;
424101;terraburdigala;
424201;douglaslaingco;
424301;chlafonrochet;
424601;douglaslaingco;
424801;hetanker;
424901;domdechevalier;
425001;douglaslaingco;
425101;famillevalleintercinier;
425201;vieuxchteauxcertan;
425301;dudognon;
425401;dudognon;
425601;massolino;
425801;anticheterre;
426001;dompaulmas;
426101;dompaulmas;
426301;boschendal;
426401;creativewhiskycompanyltd;
427001;thevintagemaltwhiskycoltd;
427201;creativewhiskycompanyltd;
427301;creativewhiskycompanyltd;
