productId;regionId;
87901;champagne;
87902;champagne;
87905;champagne;
87907;champagne;
88101;champagne;
88102;champagne;
88105;champagne;
88107;champagne;
88201;champagne;
88202;champagne;
88801;alsace;
88802;alsace;
89101;champagne;
89102;champagne;
89105;champagne;
89501;champagne;
89502;champagne;
89504;champagne;
89505;champagne;
89507;champagne;
90006;ovrige-frankrike;
90101;ovrige-frankrike;
90201;champagne;
90601;cava;
90602;cava;
90801;emiliaromagna;
91001;ovrige-tyskland;
91501;piemonte;
91502;piemonte;
91505;piemonte;
91507;piemonte;
91801;loire;
92901;ovrige-spania;
92902;ovrige-spania;
92904;ovrige-spania;
93201;ovrige-tyskland;
93202;ovrige-tyskland;
93204;ovrige-tyskland;
94101;ovrige-spania;
94401;cava;
94402;cava;
94404;cava;
94405;cava;
94601;cava;
94602;cava;
94605;cava;
94607;cava;
98601;ovrige-spania;
101301;toscana;
101501;toscana;
101701;toscana;
101901;centralvalley;
103101;kentucky;
103301;speyside;
103401;kentucky;
103801;burgund;
104001;burgund;
104201;burgund;
105301;burgund;
105601;vinhoverde;
106102;ovrige-danmark;
106202;montillamoriles;
106308;speyside;
106401;bordeaux;
106501;akershus;
106601;champagne;
106801;sicilia;
106806;sicilia;
108205;bordeaux;
108305;bordeaux;
108401;ovrige-panama;
108606;veneto;
108701;ovrige-spania;
108801;ovrige-spania;
109306;buskerud;
109401;ovrige-sverige;
109501;rheinhessen;
109601;rhnesor;
109606;rhnesor;
109701;rhnesor;
109901;buskerud;
110101;telemark;
110302;buskerud;
110606;ovrige-italia;
110801;bordeaux;
112201;piemonte;
112301;piemonte;
112402;ovrige-martinique;
112508;ovrige-england;
113601;rheinhessen;
113901;douro;
114101;piemonte;
114201;veneto;
114301;toscana;
114701;toscana;
114801;languedocroussillon;
114901;ovrige-mauritius;
115001;bordeaux;
115301;toscana;
115401;toscana;
115501;rhnenord;
116202;ovrige-danmark;
116301;castillaylen;
116502;ovrige-tyskland;
116601;vinhoverde;
117101;vinhoverde;
117202;bobovalley;
117301;burgund;
117401;burgund;
117501;burgund;
117601;abruzzo;
117701;burgund;
117802;piemonte;
117901;victoria;
118001;veneto;
118102;hordaland;
118401;burgund;
118501;burgund;
118505;burgund;
118605;champagne;
119001;champagne;
119105;champagne;
120801;bordeaux;
124001;veneto;
124101;lombardia;
124201;lombardia;
124606;coastalregion;
124701;piemonte;
124801;rhnesor;
124901;piemonte;
125101;california;
125201;california;
125301;champagne;
125601;mosel;
125701;toscana;
125806;toscana;
125901;veneto;
125904;veneto;
126301;douro;
126501;piemonte;
126601;piemonte;
126801;ovrige-italia;
127201;alsace;
127401;puglia;
127506;languedocroussillon;
127601;mosel;
127701;rhnesor;
128101;toscana;
128201;westernaustralia;
128306;toscana;
128501;toscana;
128602;douro;
128702;douro;
128901;toscana;
129101;champagne;
129201;toscana;
129301;toscana;
129401;ovrige-sorafrika;
129501;champagne;
129601;champagne;
129701;champagne;
130001;douro;
130101;champagne;
130205;douro;
130301;ronda;
130401;ronda;
130601;ronda;
130901;piemonte;
131507;marche;
131601;loire;
131701;loire;
132501;champagne;
132601;champagne;
132701;rhnenord;
132801;champagne;
132901;friuliveneziagiuli;
133201;burgund;
133301;burgund;
133601;sicilia;
133701;sicilia;
133901;loire;
134202;cognactradisjonell;
134301;cognactradisjonell;
134502;cognacbrut;
134602;cognactradisjonell;
135801;burgund;
135901;burgund;
136801;burgund;
137201;rioja;
137202;rioja;
137205;rioja;
137801;toscana;
137901;piemonte;
138001;piemonte;
138801;beiras;
138901;maipo;
139301;rioja;
139302;rioja;
140201;languedocroussillon;
140601;pfalz;
140701;ovrige-england;
140805;veneto;
140901;veneto;
141102;cognactradisjonell;
142305;veneto;
142406;toscana;
142801;rhnesor;
142901;burgund;
143301;champagne;
143401;champagne;
143601;champagne;
143701;champagne;
143801;champagne;
143805;champagne;
144001;speyside;
144101;speyside;
144301;speyside;
144801;speyside;
144901;burgund;
145001;cognacbrut;
145101;cognacbrut;
145801;rheingau;
146101;rheingau;
146201;rheingau;
146701;ovrige-frankrike;
146801;rhnesor;
146901;rhnesor;
147001;rheingau;
147401;burgund;
147501;burgund;
147601;rioja;
148201;champagne;
148301;burgund;
148401;piemonte;
148501;bornholm;
148606;veneto;
148701;veneto;
148801;toscana;
149001;champagne;
149101;bordeaux;
149201;burgund;
149301;toscana;
149401;ovrige-japan;
150101;ovrige-japan;
150201;kentucky;
150301;ovrige-usa;
150401;ovrige-usa;
150501;ovrige-usa;
150802;ovrige-usa;
150902;ovrige-usa;
151001;ovrige-usa;
151101;ovrige-usa;
151201;ovrige-usa;
151301;southeasternaustra;
151302;southeasternaustra;
151402;ovrige-japan;
151601;languedocroussillon;
152101;bordeaux;
152201;bordeaux;
152601;burgund;
153302;sorvest;
153901;coastalregion;
155201;piemonte;
155301;rhnesor;
155401;valais;
155501;valais;
155601;rhnenord;
155701;rhnesor;
155901;bordeaux;
156001;bordeaux;
156201;cognactradisjonell;
156202;cognactradisjonell;
156401;sonoma;
156801;california;
156901;ovrige-norge;
157001;austagder;
157101;ovrige-sverige;
157301;bordeaux;
157602;rheingau;
157901;rheingau;
158001;austagder;
158301;bordeaux;
158401;campbeltown;
158601;piemonte;
158701;piemonte;
158801;piemonte;
158901;loire;
160102;ovrige-wales;
160301;nahe;
160401;nahe;
161701;piemonte;
161801;piemonte;
162201;bordeaux;
162301;bordeaux;
162502;ovrige-danmark;
162602;ovrige-danmark;
162701;douro;
163601;telemark;
163801;bordeaux;
163902;champagne;
164101;ovrige-italia;
164901;champagne;
165002;bordeaux;
165101;ovrige-norge;
165102;ovrige-norge;
165602;bordeaux;
165801;burgenland;
165901;ovrige-norge;
165902;ovrige-norge;
166001;toscana;
166301;toscana;
166401;burgenland;
166601;toscana;
166701;burgenland;
166801;ovrige-england;
167107;abruzzo;
167201;bordeaux;
167502;ovrige-norge;
167602;ovrige-norge;
167901;piemonte;
168001;piemonte;
168102;buskerud;
168402;ovrige-norge;
168801;pfalz;
169401;campania;
169501;campania;
169601;campania;
169901;rhnesor;
170001;cava;
170101;toscana;
170301;sicilia;
170401;sicilia;
170501;rioja;
170502;rioja;
170505;rioja;
170601;bordeaux;
170801;alsace;
170905;bordeaux;
172201;champagne;
172401;puglia;
172501;piemonte;
172601;calabria;
172701;provence;
172801;provence;
173001;ovrige-italia;
173101;toscana;
173201;toscana;
173301;toscana;
173401;friuliveneziagiuli;
173501;douro;
173601;veneto;
173701;veneto;
174001;veneto;
174201;alsace;
174301;alsace;
174401;alsace;
174502;tokaj;
174702;tokaj;
174901;veneto;
175101;veneto;
175201;piemonte;
175301;veneto;
175601;sicilia;
175701;skye;
176101;piemonte;
177005;toscana;
177101;toscana;
177205;piemonte;
177302;toscana;
177401;toscana;
177701;catalonia;
177705;catalonia;
177801;cognactradisjonell;
178402;ovrige-danmark;
179101;southaustralia;
179202;puglia;
180101;southaustralia;
180201;southaustralia;
180301;southaustralia;
180401;toscana;
180505;rheingau;
180701;rheingau;
180802;mosel;
181305;nahe;
181405;mosel;
181805;pfalz;
182401;douro;
185101;rhnesor;
185401;piemonte;
185506;toscana;
185801;veneto;
185901;lombardia;
186001;lombardia;
186101;toscana;
186201;islay;
186301;toscana;
186402;toscana;
187101;ovrige-cuba;
187201;ovrige-irland;
187301;jerez;
187701;veneto;
187801;toscana;
187901;toscana;
188001;burgund;
188101;burgund;
188201;burgund;
188301;burgund;
