productId;packagingId;
168402;pet;
168801;engangsflaskeravglass;
169401;engangsflaskeravglass;
169501;engangsflaskeravglass;
169601;engangsflaskeravglass;
169901;engangsflaskeravglass;
170001;engangsflaskeravglass;
170101;engangsflaskeravglass;
170301;engangsflaskeravglass;
170401;engangsflaskeravglass;
170501;engangsflaskeravglass;
170502;engangsflaskeravglass;
170505;engangsflaskeravglass;
170601;engangsflaskeravglass;
170801;engangsflaskeravglass;
170905;engangsflaskeravglass;
172201;engangsflaskeravglass;
172401;engangsflaskeravglass;
172501;engangsflaskeravglass;
172601;engangsflaskeravglass;
172701;engangsflaskeravglass;
172801;engangsflaskeravglass;
173001;engangsflaskeravglass;
173101;engangsflaskeravglass;
173201;engangsflaskeravglass;
173301;engangsflaskeravglass;
173401;engangsflaskeravglass;
173501;engangsflaskeravglass;
173601;engangsflaskeravglass;
173701;engangsflaskeravglass;
174001;engangsflaskeravglass;
174201;engangsflaskeravglass;
174301;engangsflaskeravglass;
174401;engangsflaskeravglass;
174502;engangsflaskeravglass;
174702;engangsflaskeravglass;
174901;engangsflaskeravglass;
175101;engangsflaskeravglass;
175201;engangsflaskeravglass;
175301;engangsflaskeravglass;
175601;engangsflaskeravglass;
175701;engangsflaskeravglass;
176101;engangsflaskeravglass;
177005;engangsflaskeravglass;
177101;engangsflaskeravglass;
177205;engangsflaskeravglass;
177302;engangsflaskeravglass;
177401;engangsflaskeravglass;
177701;engangsflaskeravglass;
177705;engangsflaskeravglass;
177801;engangsflaskeravglass;
178402;engangsflaskeravglass;
179101;engangsflaskeravglass;
179202;engangsflaskeravglass;
180101;engangsflaskeravglass;
180201;engangsflaskeravglass;
180301;engangsflaskeravglass;
180401;engangsflaskeravglass;
180505;engangsflaskeravglass;
180701;engangsflaskeravglass;
180802;engangsflaskeravglass;
181305;engangsflaskeravglass;
181405;engangsflaskeravglass;
181805;engangsflaskeravglass;
182401;engangsflaskeravglass;
185101;engangsflaskeravglass;
185401;engangsflaskeravglass;
185506;bibunder4ltr;
185801;engangsflaskeravglass;
185901;engangsflaskeravglass;
186001;engangsflaskeravglass;
186101;engangsflaskeravglass;
186201;engangsflaskeravglass;
186301;engangsflaskeravglass;
186402;engangsflaskeravglass;
187101;engangsflaskeravglass;
187201;engangsflaskeravglass;
187301;engangsflaskeravglass;
187701;engangsflaskeravglass;
187801;engangsflaskeravglass;
187901;engangsflaskeravglass;
188001;engangsflaskeravglass;
188101;engangsflaskeravglass;
188201;engangsflaskeravglass;
188301;engangsflaskeravglass;
188401;engangsflaskeravglass;
188501;engangsflaskeravglass;
188601;engangsflaskeravglass;
188701;engangsflaskeravglass;
188801;engangsflaskeravglass;
189001;engangsflaskeravglass;
189101;engangsflaskeravglass;
189201;engangsflaskeravglass;
189301;engangsflaskeravglass;
189401;engangsflaskeravglass;
189601;engangsflaskeravglass;
