productId;name;pricePerLiter;url;
67801;Faustino I Gran Reserva 2001;279.90;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-67801;
67901;Campo Viejo Crianza 2010/2011;149.20;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-67901;
67902;Campo Viejo Crianza 2008;178.70;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-67902;
68501;Faustino V Reserva 2008/2009;213.20;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-68501;
68502;Faustino V Reserva 2006;239.70;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-68502;
68801;Gran Feudo Crianza 2006;141.20;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-68801;
69901;Brolio Chianti Classico 2012;213.20;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-69901;
69902;Brolio Chianti Classico 2012;265.30;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-69902;
69905;Brolio Chianti Classico 2010;246.00;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-69905;
71501;Santepietre Bardolino Classico 2013;155.90;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-71501;
74101;Dopff & Irion Cuvée René Dopff Gewurztraminer 2011/2013;200.00;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-74101;
74102;Dopff & Irion Gewurztraminer 2011;240.00;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-74102;
74301;Bourgeois Sancerre Grande Réserve 2013;252.70;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-74301;
74302;Bourgeois Sancerre Grande Réserve 2013;266.40;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-74302;
74601;Les Mesnils Muscadet 2011;153.20;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-74601;
77001;Königsmosel Riesling 2013;114.70;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-77001;
79101;Blue Nun 2013;113.20;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-79101;
79106;Blue Nun;105.00;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-79106;
82601;Bigi Est! Est!! Est!!! 2011;161.20;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-82601;
83001;Duca del Frassino Soave Classico 2013;146.50;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-83001;
83002;Duca del Frassino Soave Classico 2011;173.10;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-83002;
83301;Viña Sol 2013;141.20;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-83301;
83501;Viña Esmeralda 2013/2014;139.90;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-83501;
83502;Viña Esmeralda 2013;186.40;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-83502;
83601;Pfaffenheim Pinot Blanc 2012;161.30;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-83601;
83901;Casal Garcia Vinho Verde;119.90;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-83901;
83904;Casal Garcia Vinho Verde;155.10;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-83904;
85101;Mouton Cadet Reserve Sauternes 2010;340.70;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-85101;
85102;Mouton Cadet Réserve Sauternes 2011;292.00;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-85102;
85501;Candida Frascati Superiore 2013;142.50;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-85501;
85701;Mateus;126.50;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-85701;
85702;Mateus;141.90;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-85702;
85901;Lancers Rosé;131.90;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-85901;
86101;Rosatello;133.20;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-86101;
86801;René Barbier Rosado 2009;133.20;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-86801;
